R1SZFUL,R1SZELETSZ,R1SZKSORSZ
H0624,3308206248,11
H0793,3308207931,13
H1396,3308213969,22
H2116,3308221164,1
H2178,3308221784,17
H2395,3308223951,15
H2722,3308227225,29
H2723,3308227232,22
H3145,3308231459,7
H3258,3308232584,4
H3404,3308234047,7
H3502,3308235026,9
H3527,3308235273,19
H3760,3308237604,15
H3814,3308238140,5
H3896,3308238962,6
H3949,3308239491,11
H3982,3308239826,18
H4362,3308243625,8
H4379,3308243795,26
H4393,3308243935,5
H4409,3308244091,13
H4418,3308244185,11
H4419,3308244192,0
H4429,3308244293,10
H4458,3308244589,4
H4462,3308244628,8
H4467,3308244673,13
H4478,3308244781,1
H4500,3308245001,23
H4523,3308245234,11
H4547,3308245474,8
H4564,3308245645,13
H4569,3308245690,2
H4819,3308248194,0
H4839,3308248396,8
H4843,3308248435,16
H4850,3308248505,14
H4863,3308248637,21
H4877,3308248776,21
H4883,3308248839,8
H4929,3308249298,3
H4937,3308249375,1
H4940,3308249407,9
H4944,3308249445,9
H4954,3308249546,7
H5015,3308250151,17
H5054,3308250548,12
H5060,3308250601,16
H5085,3308250858,9
H5128,3308251286,5
H5140,3308251402,5
H5306,3308253066,8
H5332,3308253321,11
H5333,3308253338,19
H5371,3308253718,16
H5399,3308253996,29
H5430,3308254300,7
H5439,3308254393,17
H5447,3308254470,4
H5470,3308254704,14
H5503,3308255031,3
H5529,3308255295,11
H5542,3308255428,6
H5572,3308255721,9
H5576,3308255769,2
H5928,3308259280,26
H5933,3308259336,24
H5952,3308259521,9
H5959,3308259590,4
H5972,3308259723,4
H5974,3308259747,0
H5990,3308259901,12
H6025,3308260251,2
H6040,3308260408,8
H6051,3308260516,11
H6061,3308260617,12
H6064,3308260648,3
H6080,3308260802,1
H6094,3308260941,2
H6226,3308262264,16
H6237,3308262372,14
H6239,3308262396,6
H6244,3308262442,12
H6247,3308262473,5
H6249,3308262497,21
H6270,3308262707,12
H6273,3308262738,13
H6276,3308262769,5
H6291,3308262916,0
H6298,3308262985,9
H6307,3308263072,26
H6310,3308263104,15
H6318,3308263180,8
H6322,3308263229,8
H6331,3308263313,16
H6352,3308263522,21
H6354,3308263546,10
H6355,3308263553,12
H6369,3308263692,18
H6371,3308263717,12
H6383,3308263832,33
H6390,3308263902,7
H6395,3308263957,3
H6713,3308267137,8
H6717,3308267175,14
H6730,3308267308,6
H6737,3308267377,21
H6742,3308267423,10
H6779,3308267795,3
H6782,3308267827,11
H6796,3308267966,13
H6832,3308268325,10
H6844,3308268440,11
H6849,3308268495,12
H6850,3308268503,2
H6891,3308268914,10
H6895,3308268952,28
H6898,3308268983,8
H6903,3308269032,9
H6916,3308269164,15
H6921,3308269210,9
H6925,3308269258,14
H6926,3308269265,12
H6927,3308269272,9
H6929,3308269296,19
H6935,3308269359,14
H6938,3308269380,8
H6941,3308269412,6
H6945,3308269450,10
H6965,3308269652,16
H6968,3308269683,10
H6970,3308269708,1
H6979,3308269791,20
H6982,3308269823,1
H6983,3308269830,19
H6984,3308269847,10
H6990,3308269900,24
H6996,3308269962,23
H7421,3308274214,9
H7423,3308274238,1
H7431,3308274315,10
H7432,3308274322,24
H7455,3308274555,17
H7458,3308274586,10
H7462,3308274625,7
H7484,3308274841,8
H7489,3308274896,12
H7491,3308274911,4
H7503,3308275039,1
H7520,3308275200,19
H7521,3308275217,7
H7522,3308275224,20
H7528,3308275286,1
H7530,3308275301,2
H7532,3308275325,26
H7533,3308275332,9
H7534,3308275349,25
H7538,3308275387,15
H7539,3308275394,20
H7552,3308275527,16
H7555,3308275558,1
H7558,3308275589,9
H7559,3308275596,15
